Host,CLAV.BUMP.MUSCLE,CLAV.MAR.MUSCLE,CLAV.MAR.ANAL,CLAV.MAR.CAUDAL,CLAV.MAR.DORSAL,CLAV.MAR.BODY,CLAV.MAR.BUCCAL,CLAV.MAR.GONAD,CLAV.MAR.EYE,CLAV.MAR.GILL,CLAV.MAR.LIVER,CLAV.MAR.KIDNEY,CLAV.MAR.STOMACH,NEM.G.LIVER,NEM.G.STOMACH,NEM.G.INT,NEM.G.FLUSH,NEM.H.STOMACH,NEM.H.INT,NEM.H.GILL,NEM.H.FLUSH,NEM.H.GONAD,NEM.H.LIVER,NEM.I.LIVER,NEM.I.INT,NEM.J.STOMACH,NEM.J.INT,NEM.J.FLUSH,NEM.K.STOMACH,NEM.K.GONAD,NEM.L1.STOMACH,NEM.L1.INT,NEM.M.STOMACH,NEM.LARV.LIVER,NEM.ANIS.INT,NEM.LARV.STOMACH,NEM.LARV.INT,NEM.UNID.GONAD,NEM.UNID.LIVER,NEM.UNID.INT,NEM.UNID.FLUSH,LEECH.A.BUCCAL,LEECH.A.GILL,LEECH.A.FLUSH,CYST.A.GILL,CYST.N1.MUSCLE,CYST.N1.ANAL,CYST.N1.BUCCAL,CYST.N1.DORSAL,CYST.O.PECTORAL,CYST.O.PELVIC,CYST.O.ANAL,CYST.O.CAUDAL,CYST.O.DORSAL,CYST.NEM.GONAD,CYST.NEM.STOMACH,CYST.NEM.INT,CYST.UNID.ANAL,CYST.UNID.INT,TREM.H.GILL,TREM.H.STOMACH,TREM.H.INT,TREM.I.FLUSH,TREM.J.INT,COPE.C.SKIN,COPE.D.BUCCAL,COPE.D.GILL,ACANTH.Z.LIVER
170,1,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,3,,,,,2,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,380,,153,,,,,,,,,,,,,,
172,19,,,,,2,,,,,,,,,,55,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,266,,14,,12,3,,,,,,,,,,,
173,42,,2,,3,12,,,,,,,,,,8,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,6,,,,1,3,,1,,,,,,,2,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,,12,2,,,,,,,,,,,
176,6,,1,1,,1,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,
177,7,,,,1,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,45,,,,,,,,,,,,,,
178,,6,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
179,16,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,7,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,1,,,,,,,,,,,,,2,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,12,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,57,,,,,,,,,,,,,,,,
189,22,,1,,2,6,,1,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,212,,,,4,6,,,,,,,,,,,
192,,29,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,7,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,9,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,33,,,,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,1,1,1,,54,32,,,,,,,,,,,,,,,,,
199,,28,,1,1,2,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,16,,,,,,,,,,,,,,,
200,,5,,,2,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,5,,,,,,,,,,,,,,,,,,,,,,
201,,3,,,,,1,,1,,,,,,3,,,,,,1,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,560,,,,,,,,,,,,,,,
205,,22,,,1,2,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
206,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
207,,33,,,,22,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,111,,,,,,,,,,,1,,,
208,,36,,,,1,,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,154,,,,,,,,,,,,,,
209,,49,1,,,5,,,,1,,,,,,2,,,2,,,,,,,,,,,,,,,2,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
210,,4,,,1,1,,,,,,,,,2,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,
211,,24,,,1,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
212,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,11,,,,,,,,,,,,
213,,14,,,,,,,,2,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1
214,,15,,,,8,,,1,,,,,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,69,,,,7,,,,,,,,1,,33,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
216,,13,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,569,,113,,,,,,,,,,,,,,
217,,8,1,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,1,,,2,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
218,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,7,,,,,,,,,,,,
219,,2,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,71,,8,,,,,,,,,,,,
220,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,305,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,29,,,,4,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,22,,,2,,,,,1,,,,,,,
224,,4,,,2,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,,,,
225,,4,,,1,,,,,,,,,,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,8,,,,
226,,117,,1,2,18,,,,,1,1,,,,35,,,,,,,,,,,,,,,,,,,,,,,,18,,,2,,,,2,,,,,84,318,593,,8,10,,,,,,,,,,,
227,,50,,,1,3,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,9,,,58,,169,,,,,,,,,,,,,,
228,,19,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,81,,,,,,,,,,,,,,,,
229,,6,,,,1,,,,1,,1,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,1,,,,,,,,,,,,,,2,14,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,9,,,,,,,,,,1,,,,,
233,14,,,,1,2,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
234,10,,,,,2,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,,,,,,,,,,,
235,14,,1,1,,5,,1,,,1,,1,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,577,1044,2,3,14,,37,,,,,,,,,
236,7,,1,,2,1,,,,,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,11,,,,,,,,,,,,
237,7,,,,,1,,,,,,,,,2,15,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,9,5,,,,,,,,,,,
238,9,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
239,15,,2,,1,5,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,2,,,,,,,,,,,,
240,21,,,,,7,,3,,,,,,,5,41,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,6,23,,,,,,,,,,,
241,11,,,,,2,,,,,,,,,8,3,,,,,,1,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,156,,,,,,,,,,,,,,,,
242,3,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,318,,,,1,1,,,,,,,,,,,
243,17,,,,,2,,,,,,,,,9,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,609,,,,,,,,,,,,,,,,
244,42,,,,1,18,,,,,,,,,,26,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,
245,13,,2,,,2,,,,,,,,,,12,,,,,,,,,,,,,,,,2,,,1,,,,,,,,1,,,,,,,,,,,145,,1,,,,,,,,,,,,
246,14,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,7,,,,,,,,,,,,,,,,
247,4,,1,,,7,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,11,1,,,,,,,,,,,
248,1,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,1,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,5,,,,,1,,,,,,1,,,,12,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,187,,37,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,131,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,2,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,1,1,,,,,,,,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,,335,,,,,1,,,,,,,,,,,
257,,,,,,,,,,,,,,,18,52,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,1,,,,,,13,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
261,1,,,,,,,,,,,,,,2,2,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,23,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,
297,16,,,,4,2,,,,,,,,,33,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522,,405,,3,,,,,,,,,,,,
298,5,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
299,8,,,,1,,,,,,,,,,17,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,15,,,,,,,,,,,,,,,,,,,,,,,
301,4,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,12,,,1,1,,,,,,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,27,,,,1,2,,,,,,,,,17,6,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,37,,156,,5,,,,,,,,,,,,
304,38,,2,,2,7,,,,,,,,,1,21,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,
305,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,42,,67,,,,,,,,,,,,,,
306,20,,,,,,,,,1,,,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
