Host,NEM.LA.Body,NEM.LA.LIVER,NEM.LA.Py,NEM.LA.INT,NEM.LB.LIV,NEM.A.Intestine,NEM.B.Body,NEM.B.Int,NEM.B.STOM,NEM.B.GONAD,NEM.C.Pyloric,NEM.C.STOM,NEM.C.INT,NEM.C.Liv,NEM.C.KIDNEY,NEM.C.FLUSH,NEM.D.Stomach,NEM.D.Int,NEM.E.STOM,NEM.E.INT,TREM.A.INT,TREM.A.Stomach,TREM.A.GILL,TREM.B.STOMACH,TREM.B.INT,TREM.B.PY,TREM.C.INT,TREM.D.INT,CYST.A.Gill,CYST.B.Heart,CYST.C.Pyloric,CYST.D.STOM,CYST.D.INT,CYST.D.PY,CYST.E.Caudal,CYST.E.DORSAL,CYST.F.LIVER,CYST.G.MUSCLE,CYST.J.GILL,CYST.K.MUSCLE,ACANTH.A.INT,ACANTH.A.Stom,COPE.A.Gill,COPE.B.Gill,TRYP.A.Stom,TRYP.A.Anal,TRYP.A.BODY
1,0,0,,,,1,0,1,,,0,,,,,,,,,,,2,,,,,,,0,1,0,,,,,,,,,,,,,,,,
2,0,0,,,,0,0,1,,,0,,,,,,,,,,,0,,,,,,,0,0,1,,,,,,,,,,,,,,,,
3,0,0,,,,0,0,0,,,0,,,,,,,,,,,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,
4,0,0,,,,0,0,2,,,0,,,,,,,,,,,1,,,,,,,0,0,0,,,,,,,,,,,,,,,,
5,0,0,,,,0,1,2,,,2,,,,,,,,,,,0,,,,,,,4,0,0,,,,,,,,,,,,,,,,
6,0,0,,,,0,0,0,,,0,,,,,,,,,,,0,,,,,,,8,1,0,,,,,,,,,,,,,,,,
7,1,0,,,,0,0,0,,,0,,,,,,,,,,,2,,,,,,,0,0,0,,,,,,,,,,,,,,,,
8,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,1,,,,,,,,,,,,,,,,
9,,,,,,,,,,,1,2,,,,,,,,,,,,,1,,1,,6,,,,,,,,,,,,1,,,,,,
10,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,14,,,2,,,,,,,,,,,,,,,
11,,1,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,7,,,,,,,,,,,,1,,,,,,
12,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,
13,,4,1,,,,,,,,1,,1,,,,,1,,,,,,,4,,,,2,,,96,4,124,,,,,,,,,,,,,
14,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,
15,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,1,1,1,,,
16,,,,,,,,,,,,,2,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,
17,,1,,,,,,,,,1,,3,,,,,,,,,,,,,,,,17,,1,,,,,,,,,,,,,,,,
18,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,6,,,,,,,,,,,,1,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,1,
35,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
36,,1,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,4,,,,,,,,,,,,6,,,,,,
37,,1,,,,,,,,,2,,,,,,,,,,,,,,1,5,,,2,,,,,,,,,,,,,,,,,,
38,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,
39,,,,,,,,1,,,2,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
40,,1,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
42,,1,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,12,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,1,,1,,,,,,,,,,,,1,4,,1,,,1,,,,,,,,,,,,,,,,
44,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,7,,1,,,,,,,,,,1,,,,,,
45,,2,,,,,,1,,,1,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,
47,,2,,,,,,7,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
48,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,,,,,,,
50,,3,,,,,,2,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,
51,,1,,,,,,6,,,,,3,,,,,,,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,
52,,,1,,,,,6,3,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,5,,,2,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
54,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,10,,,,,,,,,,
55,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,5,,,,,,,1,,,,,,,,,,,
56,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,2,,,,1,,
57,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
58,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,9,,4,,,,,,,,,,2,,,,,,
59,,,1,,,,,5,,1,,,1,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,
60,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,5,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,7,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,1,2,1,,
71,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,2,,,,,,,,,,,,,,,,,,
73,,,,,,,,1,,,,,,,,,,,,,,,1,2,,2,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,1,,,
75,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
80,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,18,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
111,,1,,1,,,,1,,,1,,1,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
112,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,326,,,60,35,19,,,,,2,,,,,,,,
113,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,44,,2,,,,,,,,,,1,,,,,,
114,,,,,,,,5,7,,1,,,,,,,,,1,,,,,2,5,,,50,,15,2,,,,,,,,,,,,,,,1
115,,,,,,,,1,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,1,,,,1,,,,,,,,,,,,,2,2,,6,,,,,,,,,,,,1,,,,,,
117,,,,,,,,10,,,1,,,,,,,,,,,,,,2,,,,16,,,,,,,,,,,,,,,,,,
118,,,1,,,,,4,1,,,,,,,,,,1,,,,,,,1,,,2,,,,,,,,,,,,2,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
121,,1,,,,,,,1,,,,,,,,,,,,,,,,,3,,,3,,,,,,,,,,,,,,,,,,
122,,,,,,,,9,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,3,,,,,,1,1,,2,,1,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,
124,,1,,,,,,1,,,1,,,,,,,,,,,,,,,4,,,4,,,,,,,,,,,,1,,,,1,,
125,,2,,,,,,1,,,2,,1,,,1,,,,,,,,,1,3,,,2,,,1,3,,,,,,,,1,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,
132,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
148,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
